Row Id,LBNL ID,MURR ID,Alternate ID,Site,Latitude,Longitude,Context,Excavator,Source Person,Affiliation,Material,Ware,Fabric,Exterior Decoration,Form,Specific Form,Piece,Group,Era,Temper,Notes,Analytical Notes,Powder Present in Archives,Data Source,Run,Entry,Al,Ca,V,Dy,Mn,Na,K,Sr,As,U,Eu,Ba,Sm,La,Ti,Lu,Nd,Co,Sc,Fe,Ce,Yb,Cs,Ta,Sb,Cr,Th,Ni,Rb,Tb,Hf,Zn,Column #59,Column #60,Column #61,Column #62,Column #63,Column #64,Column #65,Column #66,Column #67,Column #68,Column #69,Column #70,Column #71,Column #72,Column #73,Column #74,Column #75,Column #76
1,AEVI-1,AEVI0001,,Ayios Epiktitos-Vrysi,35.321,33.39,House 2b.1,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red on cream,,,,,,,Neolithic 1b,,,,,Direct transcription,712,J,36300,189100,64,2.47,566,5500,11500,360,8.9,1.16,0.719,529.0,2.581,15.63,2020,0.174,12.7,16.26,9.12,24200,30.4,1.32,2.0,0.34,0.6,290.6,5.03,,,,1.94,,,,,,,,,,,,,,,,,,,
2,AEVI-2,AEVI0002,,Ayios Epiktitos-Vrysi,35.321,33.39,House 3b.4,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red slipped,,,,,,,Neolithic 1b,,,,Y,Direct transcription,712,K,41800,152200,68,2.78,612,7350,15000,647,6.4,1.39,0.739,736.0,2.76,16.53,2100,0.192,14.1,16.06,10.51,24800,31.7,1.38,3.2,0.57,0.72,386.0,4.94,,,,1.74,,,,,,,,,,,,,,,,,,,
3,AEVI-3,AEVI0003,,Ayios Epiktitos-Vrysi,35.321,33.39,House Ivb.4,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red on cream,,,,,,,Neolithic 1b,,,,Y,Direct transcription,712,M,44300,143200,67,2.34,490,7340,17700,565,12.7,1.31,0.765,504.0,2.625,17.48,1820,0.185,13.3,15.45,10.76,26900,31.7,1.35,3.9,0.33,0.89,357.2,5.73,,,,2.1,,,,,,,,,,,,,,,,,,,
4,AEVI-4,AEVI0004,,Ayios Epiktitos-Vrysi,35.321,33.39,House 4b.3,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red on cream,,,,,,,Neolithic 1b,,,,,Direct transcription,712,N,46000,187600,78,3.08,651,7360,15000,741,6.5,1.86,0.936,1090.0,3.24,20.58,2310,0.219,16.0,17.67,12.53,28400,38.8,1.61,3.8,0.54,0.75,233.3,5.83,,,,2.3,,,,,,,,,,,,,,,,,,,
5,AEVI-5,AEVI0005,,Ayios Epiktitos-Vrysi,35.321,33.39,Site 4.3,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red on cream,,,,,,,Neolithic 1b,,,,Y,Direct transcription,712,S,38900,178500,152,2.47,399,6540,12300,319,16,1.48,0.702,371.0,2.639,16.01,1720,0.179,14.6,17.49,11.26,30200,32.0,1.36,3.3,0.31,1.26,309.3,5.86,,,,1.8,,,,,,,,,,,,,,,,,,,
6,AEVI-6,AEVI0006,,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,,,,,,,,Neolithic,,,,Y,,738,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AEVI-7,AEVI0007,,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red burnished,,,,,,,Neolithic,,,,Y,,738,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AEVI-8,AEVI0008,,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red burnished,,,,,,,Neolithic,,,,Y,,738,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AEVI-9,AEVI0009,,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Red burnished,,,,,,,Neolithic,,,,Y,,738,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AEVI-10,AEVI0010,,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,Coarse ware,,,,,,,Neolithic,,,,Y,,738,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
