Cemetery,Sex,Age,FemurLength
Cemetery1,MALE,ADULT>45YEARS,463
Cemetery1,MALE,ADULT>45YEARS,460
Cemetery1,MALE,ADULT>45YEARS,466
Cemetery1,MALE,ADULT>45YEARS,441
Cemetery1,MALE,ADULT>45YEARS,479
Cemetery1,MALE,ADULT>45YEARS,480
Cemetery1,MALE,ADULT>45YEARS,472
Cemetery1,MALE,ADULT>45YEARS,438
Cemetery1,MALE,ADULT>45YEARS,488
Cemetery1,MALE,ADULT>45YEARS,477
Cemetery1,MALE,ADULT>45YEARS,473
Cemetery1,MALE,ADULT>45YEARS,435
Cemetery1,MALE,ADULT>45YEARS,490
Cemetery1,MALE,ADULT>45YEARS,483
Cemetery1,MALE,ADULT>45YEARS,470
Cemetery1,MALE,ADULT>45YEARS,433
Cemetery1,MALE,ADULT>45YEARS,485
Cemetery1,MALE,ADULT>45YEARS,476
Cemetery1,MALE,ADULT>45YEARS,423
Cemetery3,FEMALE,ADULT>45YEARS,464
Cemetery3,FEMALE,ADULT>45YEARS,445
Cemetery3,FEMALE,ADULT>45YEARS,463
Cemetery3,FEMALE,ADULT>45YEARS,445
Cemetery3,FEMALE,ADULT>45YEARS,444
Cemetery3,FEMALE,ADULT>45YEARS,412
Cemetery3,FEMALE,ADULT>45YEARS,440
Cemetery3,MALE,ADULT>45YEARS,473
Cemetery3,MALE,ADULT>45YEARS,436
Cemetery3,MALE,ADULT>45YEARS,475
Cemetery3,MALE,ADULT>45YEARS,455
Cemetery3,MALE,ADULT>45YEARS,462
Cemetery3,MALE,ADULT>45YEARS,455
Cemetery3,MALE,ADULT>45YEARS,417
Cemetery3,MALE,ADULT>45YEARS,474
Cemetery1,FEMALE,ADULT18-30YEARS,397
Cemetery1,FEMALE,ADULT18-30YEARS,395
Cemetery1,MALE,ADULT18-30YEARS,472
Cemetery1,MALE,ADULT18-30YEARS,450
Cemetery1,MALE,ADULT18-30YEARS,473
Cemetery1,MALE,ADULT18-30YEARS,446
Cemetery1,MALE,ADULT18-30YEARS,445
Cemetery1,MALE,ADULT18-30YEARS,444
